FEN,Evaluation
1r5k/4RR2/7p/p1p1Np2/1p3Kp1/1P4P1/2B2B2/8 w - - 0 52,"{'type': 'mate', 'value': 2}"
1r5k/4R2R/7p/p1p1Np2/1p3Kp1/1P4P1/2B2B2/8 b - - 1 52,"{'type': 'mate', 'value': 3}"
1r4k1/4R2R/7p/p1p1Np2/1p3Kp1/1P4P1/2B2B2/8 w - - 2 53,"{'type': 'mate', 'value': 2}"
1r4k1/6RR/7p/p1p1Np2/1p3Kp1/1P4P1/2B2B2/8 b - - 3 53,"{'type': 'mate', 'value': 2}"
1r3k2/6RR/7p/p1p1Np2/1p3Kp1/1P4P1/2B2B2/8 w - - 4 54,"{'type': 'mate', 'value': 2}"
1r3k2/6RR/6Np/p1p2p2/1p3Kp1/1P4P1/2B2B2/8 b - - 5 54,"{'type': 'mate', 'value': 1}"
1r2k3/6RR/6Np/p1p2p2/1p3Kp1/1P4P1/2B2B2/8 w - - 6 55,"{'type': 'mate', 'value': 1}"
1r2k3/4R2R/6Np/p1p2p2/1p3Kp1/1P4P1/2B2B2/8 b - - 7 55,"{'type': 'mate', 'value': 1}"
1r1k4/4R2R/6Np/p1p2p2/1p3Kp1/1P4P1/2B2B2/8 w - - 8 56,"{'type': 'mate', 'value': 1}"
rnbqkbnr/pppppppp/8/8/8/8/PPPPPPPP/RNBQKBNR w KQkq - 0 1,"{'type': 'cp', 'value': 29}"
rnbqkbnr/pppppppp/8/8/3P4/8/PPP1PPPP/RNBQKBNR b KQkq - 0 1,"{'type': 'cp', 'value': 26}"
rnbqkbnr/ppp1pppp/8/3p4/3P4/8/PPP1PPPP/RNBQKBNR w KQkq - 0 2,"{'type': 'cp', 'value': 25}"
rnbqkbnr/ppp1pppp/8/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R b KQkq - 1 2,"{'type': 'cp', 'value': 24}"
rnbqkbnr/ppp2ppp/4p3/3p4/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,"{'type': 'cp', 'value': 29}"
rnbqkbnr/ppp2ppp/4p3/3p4/3P4/5NP1/PPP1PP1P/RNBQKB1R b KQkq - 0 3,"{'type': 'cp', 'value': 26}"
rnbqkbnr/pp3ppp/4p3/2pp4/3P4/5NP1/PPP1PP1P/RNBQKB1R w KQkq - 0 4,"{'type': 'cp', 'value': 24}"
rnbqkbnr/pp3ppp/4p3/2pp4/2PP4/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 4,"{'type': 'cp', 'value': 18}"
rnbqk1nr/pp2bppp/4p3/2pp4/2PP4/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 5,"{'type': 'cp', 'value': 48}"
rnbqk1nr/pp2bppp/4p3/2Pp4/2P5/5NP1/PP2PP1P/RNBQKB1R b KQkq - 0 5,"{'type': 'cp', 'value': 43}"
rnbqk2r/pp2bppp/4pn2/2Pp4/2P5/5NP1/PP2PP1P/RNBQKB1R w KQkq - 1 6,"{'type': 'cp', 'value': 36}"
rnbqk2r/pp2bppp/4pn2/2Pp4/2P5/5NP1/PP2PPBP/RNBQK2R b KQkq - 2 6,"{'type': 'cp', 'value': 30}"
rnb1k2r/pp2bppp/4pn2/q1Pp4/2P5/5NP1/PP2PPBP/RNBQK2R w KQkq - 3 7,"{'type': 'cp', 'value': 50}"
rnb1k2r/pp2bppp/4pn2/q1Pp4/2P5/2N2NP1/PP2PPBP/R1BQK2R b KQkq - 4 7,"{'type': 'cp', 'value': 40}"
rnb1k2r/pp2bppp/4pn2/q1P5/2p5/2N2NP1/PP2PPBP/R1BQK2R w KQkq - 0 8,"{'type': 'cp', 'value': 50}"
rnb1k2r/pp2bppp/4pn2/q1P5/2p5/2N2NP1/PP2PPBP/R1BQ1RK1 b kq - 1 8,"{'type': 'cp', 'value': 37}"
rnb1k2r/pp2bppp/4pn2/2q5/2p5/2N2NP1/PP2PPBP/R1BQ1RK1 w kq - 0 9,"{'type': 'cp', 'value': 61}"
rnb1k2r/pp2bppp/4pn2/2q5/2p5/2N1BNP1/PP2PPBP/R2Q1RK1 b kq - 1 9,"{'type': 'cp', 'value': 44}"
rnb1k2r/pp2bppp/4pn2/7q/2p5/2N1BNP1/PP2PPBP/R2Q1RK1 w kq - 2 10,"{'type': 'cp', 'value': 48}"
rnb1k2r/pp2bppp/4pn2/7q/2pQ4/2N1BNP1/PP2PPBP/R4RK1 b kq - 3 10,"{'type': 'cp', 'value': 38}"
rnb1k2r/pp2bpp1/4pn1p/7q/2pQ4/2N1BNP1/PP2PPBP/R4RK1 w kq - 0 11,"{'type': 'cp', 'value': 151}"
rnb1k2r/pp2bpp1/4pn1p/7q/2Q5/2N1BNP1/PP2PPBP/R4RK1 b kq - 0 11,"{'type': 'cp', 'value': 62}"
r1b1k2r/pp2bpp1/2n1pn1p/7q/2Q5/2N1BNP1/PP2PPBP/R4RK1 w kq - 1 12,"{'type': 'cp', 'value': 76}"
r1b1k2r/pp2bpp1/2n1pn1p/7q/2QN4/2N1B1P1/PP2PPBP/R4RK1 b kq - 2 12,"{'type': 'cp', 'value': 66}"
r1b1k2r/pp2bpp1/4pn1p/4n2q/2QN4/2N1B1P1/PP2PPBP/R4RK1 w kq - 3 13,"{'type': 'cp', 'value': 87}"
